Finca,GroupId,Survey,2025,MapboxStyle
Agrodex,embsAqXJuue3wdZ2r,FALSE,TRUE,mapbox://styles/myd-desarrollo/ck7b4zp0401ca1it9germe3zh
AgroFlowers,57dd646d2782215c577ec9c5,FALSE,,mapbox://styles/myd-desarrollo/ciqjqd0c80001bknc7ygj4oka
Agromonte,vJEEaN4zeazP66kpD,FALSE,TRUE,mapbox://styles/myd-desarrollo/cj6z8u9ve6md52rqrj497xa90
Aurora,585B5b4xg48nvHWJK,FALSE,TRUE,mapbox://styles/myd-desarrollo/cmaycrjpa003k01sehwun7muy
Aurora - Dandy,XofRpfDnMbEFer3Sg,FALSE,TRUE,mapbox://styles/myd-desarrollo/cmcchzres001q01s2bg4d5qmh
Aurora - Palmira,2HXQ5iAu8zaKCk229,FALSE,TRUE,mapbox://styles/myd-desarrollo/cma6wsspn000001r07yepfcn9
Ayurá  -  Eclipse,AnFEMQ7vXWNapkiZR,FALSE,TRUE,mapbox://styles/myd-desarrollo/cjzacvuti072q1cqy8kwddcs1
Ayurá  -  Los Manzanos,7hHRnJy4QcsysTv4R,FALSE,TRUE,mapbox://styles/myd-desarrollo/cjot2dkpz27xr2smhnkg1hz5j
Ayurá - La Aldea,NsccjzxfdkibXdNax,FALSE,TRUE,mapbox://styles/myd-desarrollo/cm3j09k1k00fx01ryfbs973n7
Cactus I,sux5RzGvZf5CyyJkC,FALSE,TRUE,mapbox://styles/myd-desarrollo/cllfailq901p401qnh0p88exg
Cactus II,k2xHqZ9MjhzbTTKXJ,FALSE,TRUE,mapbox://styles/myd-desarrollo/cllf6x79k01n801qr01fpbw1z
Cactus III,FAeAGT6QhFxr8Tory,FALSE,TRUE,mapbox://styles/myd-desarrollo/cllfayvcl01n701mf28pa36zg
Cactus Propagar  - Toca,jrdfqCLkZ7wmkfANk,FALSE,TRUE,mapbox://styles/myd-desarrollo/clrscq5g000m001p2845p1yqg
Cactus V,dBNHKu7wkEBbrLcHn,FALSE,TRUE,mapbox://styles/myd-desarrollo/cllfbobov01me01qmclr3bfuk
Cactus VI,whKRsLKGzisX7QQQe,FALSE,TRUE,mapbox://styles/myd-desarrollo/cllfc3vaq01ob01qr5y569blk
Casupá  -  Labores,KsPAXM4HCayLo3T7G,,,mapbox://styles/myd-desarrollo/clctdfopz000714nx4829l66u
Casupá2,c732YpkZ54SwRDYsn,FALSE,FALSE,mapbox://styles/myd-desarrollo/clctdfopz000714nx4829l66u
Cultivo Manzanares,jLCwEADRYK2f5ZNhc,FALSE,,mapbox://styles/myd-desarrollo/ckgjv8t5q1ayy19ldkv0jb5vy
Danziger,SY5zKa3zThw5aSM48,FALSE,TRUE,mapbox://styles/myd-desarrollo/cjn4qqebr1d8d2sldv8i9l7cs
DonEusebio - El Hato,kEqhrrWX3KmsfgQc9,FALSE,TRUE,mapbox://styles/myd-desarrollo/ckfip7nnt05t219pn7i7fol0v
DonEusebio - Suesca,4Y6kEahMQs9Cd77B7,FALSE,TRUE,mapbox://styles/myd-desarrollo/ckfpuyght1a2s1alsfu9db1fq
Dekker2,Miz7P6MnpWxXHtKZP,,,mapbox://styles/myd-desarrollo/ckmnimdru24o517mnhwil42ip
Elite - Clavel A,t54PCh2AhspPDb9ZP,FALSE,TRUE,mapbox://styles/myd-desarrollo/cmfr9np9i00ku01rycqsufbg8
Elite - Clavel B,6qyDjMEghrERGN7z4,FALSE,TRUE,mapbox://styles/myd-desarrollo/cl84hvtaa006w14ro9m5pwv6j
Elite - Funza Rosa A,oCcZB27mMM6R7XhWE,FALSE,TRUE,mapbox://styles/myd-desarrollo/ckfd0s8zo045a19l4ns7zk7k3
Elite - Funza Rosa B,MowawRnYf44dKPAo7,FALSE,TRUE,mapbox://styles/myd-desarrollo/cmf4kavgg007a01qp65upcz7i
Elite - Nemocón A,xxoPfQtM3kavTdc5g,FALSE,TRUE,mapbox://styles/myd-desarrollo/cjj914ld43tgu2rnsosrzmxop
Elite - Nemocón B,ofzSTquJrYToJpzMd,FALSE,TRUE,mapbox://styles/myd-desarrollo/cmbqvwtfr00tv01s26r4m3xmj
FloresSanJuan - El Rancho,X2WsR37EiER6PKM7g,FALSE,TRUE,mapbox://styles/myd-desarrollo/cl1ntbqe2000d14o43091fxgo
GeoFlora,gNwqYH9zPqLXFL84p,FALSE,TRUE,
Indigo Farms,eywn47w5Zv6Bch5zv,FALSE,TRUE,mapbox://styles/myd-desarrollo/ck571kp5i14mg1cmi75pcnmu0
Indigo Farms - Athina,K9AteXqiz95zuDsNF,FALSE,TRUE,mapbox://styles/myd-desarrollo/ck6cqm2jh5an51io4ngv5led4
Calafate Perennes,eLBz87FyoRb4YBCZL,FALSE,TRUE,mapbox://styles/myd-desarrollo/ckvmyy3j30zxf16tgudasws1p
Diversificados I,WfCpc7t3YYJJK3rJG,FALSE,TRUE,mapbox://styles/myd-desarrollo/cks6kuy5h291g17l8caat5uwn
Diversificados II,HCiv88tN9eGWT9pds,FALSE,TRUE,mapbox://styles/myd-desarrollo/clkx0djaf00fe01qg2ikieg12
Perennes,FfbmK9yKGaBpRESmJ,FALSE,TRUE,mapbox://styles/myd-desarrollo/ckxhz71p80lhn14mpi0f2xjoz
Valmar,QBuNunk5kjwkDdLGP,FALSE,TRUE,mapbox://styles/myd-desarrollo/cl2uy6v7d001s15qkl3tt0dke/draft
Valmar Campo Abierto,d2XrJNe7dobE5uwDc,FALSE,TRUE,mapbox://styles/myd-desarrollo/cl3d47msi004615s2sszwo6ot
Valmar Campo Abierto Melaleucas,ujcyfpTXwtJfgKnTx,FALSE,,mapbox://styles/myd-desarrollo/cl65b6tvc000f15oaq5fpl49w
La Conejera - Sisga,coJ8RobhxmSvhBKMR,FALSE,TRUE,mapbox://styles/myd-desarrollo/clqze17xw00s401ql7r060j0g
La Corsaria,a77zDcgXofDm89vv3,FALSE,TRUE,
LaConejera - Cajicá,Rg5xdWiy894RoDQau,FALSE,TRUE,mapbox://styles/myd-desarrollo/ck6tispux000k1ipkaos0sn9t
LaConejera - Pasoancho,phQW9vg2zYg4RBEmG,FALSE,TRUE,mapbox://styles/myd-desarrollo/ck5chbjyc1osp1cqqqeltiwhb
Luisiana Farms,9LNwRG5b2QqjFMmJN,FALSE,TRUE,mapbox://styles/myd-desarrollo/ckhcgk7dh062919sbjidufr5g
Luna Nueva,qZFKdErNMkXACrvYB,FALSE,TRUE,mapbox://styles/myd-desarrollo/cjlfns2dr0gyg2slo6f0tqzo8
Propagar Plantas S.A.S,fWdEDs9TngbkGeYJ3,FALSE,TRUE,
Serrezuela - Rosa,dkbYJR5HG3q2pFgLJ,FALSE,TRUE,mapbox://styles/myd-desarrollo/cliknppue00xc01p6hlut90p0
Serrrezuela - Clavel,dkbYJR5HG3q2pFgLX,FALSE,TRUE,mapbox://styles/myd-desarrollo/clpiizz1z00bv01qud8b22860
Suasuque,ra46HedsATpyfbHtK,FALSE,TRUE,mapbox://styles/myd-desarrollo/cjo5s1ide0v0u2ro4seepqcst
Valleflor - Ascázubi,MNqG87XQXGRS8zjwa,FALSE,TRUE,mapbox://styles/myd-desarrollo/cloe56n80002901qn5os4bvyj
